1;Duna: Parte 2;2024;Ficção Científica;2.50;https://image.tmdb.org/t/p/w500/8b8R8l88Qje9dn9OE8PY05Nxl1X.jpg;Paul Atreides se une a Chani e aos Fremen enquanto busca vingança.;https://www.youtube.com/watch?v=Way9Dexny3w;Timothée Chalamet, Zendaya
2;Kung Fu Panda 4;2024;Animação;1.80;https://image.tmdb.org/t/p/w500/kDp1vUBnMpe8ak4rjgl3cLELqjU.jpg;Po é escolhido para se tornar o Líder Espiritual.;https://www.youtube.com/watch?v=_inKs4eeHiI;Jack Black, Awkwafina
3;Godzilla e Kong;2024;Ação;2.00;https://media.themoviedb.org/t/p/w188_and_h282_face/fWSGD2yrzz6hscocnMD8AEXIThk.jpg;Uma aventura explosiva com os dois titãs.;https://www.youtube.com/watch?v=lV1OOlGwExM;Rebecca Hall, Brian Tyree Henry
4;Guerra Civil;2024;Ação;1.75;https://image.tmdb.org/t/p/w500/sh7Rg8Er3tFcN9BpKIPOMvALgZd.jpg;Uma jornada através de uma América distópica.;https://youtu.be/YR3cTY0WSbU?si=Yq0uPVUbC5auwlfx;Kirsten Dunst, Wagner Moura
5;Corra!;2017;Terror,Suspense,Drama;1.75;https://br.web.img3.acsta.net/pictures/17/04/19/21/08/577190.jpg;Chris é um jovem fotógrafo negro que está prestes a conhecer os pais de Rose, sua namorada caucasiana. Na luxuosa propriedade dos pais dela, Chris percebe que a família esconde algo muito perturbador.;https://youtu.be/mDGV5UucTu8?si=kK4yG-g0JE6vfyUR;Daniel Kaluuya, Allison Williams, Caleb Landry Jones, Lakeith Stanfield, Catherine Keener
6;Mártires (Martyrs);2008;Terror,Suspense,Drama;6.66;https://media.themoviedb.org/t/p/w600_and_h900_face/969mH6AnksRNWMHhGxVbFa6l9qj.jpg;Duas jovens que foram vítimas de abuso quando crianças embarcam em uma sangrenta jornada de vingança e acabam envolvidas em um caminho obscuro.;https://youtu.be/Icd9sddDMHY?si=D0GKqpY00NGSaDCS;Morjana Alaoui, Mylène Jmanoï, Catherine Bégin, Xavier Dolan, Jessie Pham
7;Era Uma Vez no México;2003;Ação;0.99;https://http2.mlstatic.com/D_NQ_NP_963596-MLB31272728555_062019-O.webp;O barão das drogas Barillo está planejando assassinar o presidente do México e tomar o poder. O corrupto agente da CIA Sands recruta o músico El Mariachi para deter os planos do criminoso. Mariachi estava aposentado desde a morte de sua esposa e filha e não quer mais matar, mas ele pode não ter escolha. É o filme final na"Trilogia Mariachi", que inclui "El Mariachi" e "A balada do pistoleiro".;https://youtu.be/OflFk2z53Xs?si=bVQfxRAnUwWFyRa9;cast
8;Shrek 2;2004;Animação,Comédia;1.20;https://br.web.img3.acsta.net/r_1280_720/medias/nmedia/18/97/04/22/20504502.jpg;Shrek e Fiona viajam ao Reino de Tão Tão Distante para conhecer os pais dela, mas o Rei não aceita o genro ogro.;https://youtu.be/zLlQe2tCHWs?si=cLw49Obhu29y0Kqe;Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas
9;Pânico na Floresta;2003;Terror;1.50;https://image.tmdb.org/t/p/original/12YCnydCQxjbNTDPHkNIqUpjHMD.jpg;Chris bate seu carro em um veículo de campistas e, juntos, eles tentam buscar ajuda, mas são caçados por canibais deformados.;https://youtu.be/fNiprn4Nvv4?si=59bIfnelNbyJRGL3;Desmond Harrington, Eliza Dushku, Emmanuelle Chriqui
10;Toy Story 3;2010;Animação;2.10;https://upload.wikimedia.org/wikipedia/pt/7/7e/Toy_Story_3.jpg;Andy vai para a faculdade e seus brinquedos são entregues por engano em uma creche cheia de crianças indomáveis.;https://www.youtube.com/watch?v=ZZv1vkia4DL;Tom Hanks, Tim Allen, Joan Cusack
11;A Chave Mestra;2005;Suspense,Terror;1.85;https://m.media-amazon.com/images/S/pv-target-images/c23e01fb35cf3d99eab1582fb5ed8b9422cc0d4e8a9f9633ddc3fc6be3c52cf3.jpg;Uma enfermeira cuida de um idoso em uma mansão em Nova Orleans e descobre segredos terríveis sobre o passado da casa.;https://www.youtube.com/watch?v=3w8x9x8x9x8;Kate Hudson, Gena Rowlands, John Hurt
